Feature,Coefficient,Compartment,Feature_Type,Measurement,Channel,Rank
Nuclei_AreaShape_FormFactor,0.0,Nuclei,AreaShape,FormFactor,,447
Cytoplasm_RadialDistribution_FracAtD_PM_4of4,0.0,Cytoplasm,RadialDistribution,FracAtD,PM,448
Cytoplasm_Texture_Correlation_Hoechst_3_02_256,0.0,Cytoplasm,Texture,Correlation,Hoechst,449
Cytoplasm_Intensity_MADIntensity_Hoechst,0.0,Cytoplasm,Intensity,MADIntensity,Hoechst,450
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_2_2,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,451
Cytoplasm_RadialDistribution_RadialCV_Mitochondria_4of4,0.0,Cytoplasm,RadialDistribution,RadialCV,Mitochondria,452
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_5_1,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,453
Nuclei_Intensity_StdIntensityEdge_PM,0.0,Nuclei,Intensity,StdIntensityEdge,PM,454
Cytoplasm_Texture_InfoMeas1_Hoechst_3_03_256,0.0,Cytoplasm,Texture,InfoMeas1,Hoechst,455
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_9_5,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,456
Cytoplasm_AreaShape_Zernike_4_0,0.0,Cytoplasm,AreaShape,Zernike,4,457
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_2_0,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,458
Cytoplasm_RadialDistribution_MeanFrac_Actin_2of4,0.0,Cytoplasm,RadialDistribution,MeanFrac,Actin,459
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_8_2,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,460
Cells_Texture_AngularSecondMoment_ER_3_01_256,0.0,Cells,Texture,AngularSecondMoment,ER,461
Nuclei_Intensity_IntegratedIntensityEdge_Hoechst,0.0,Nuclei,Intensity,IntegratedIntensityEdge,Hoechst,462
Nuclei_Texture_Correlation_Actin_3_00_256,0.0,Nuclei,Texture,Correlation,Actin,463
Nuclei_RadialDistribution_ZernikeMagnitude_PM_5_5,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,PM,464
Nuclei_AreaShape_Zernike_5_3,0.0,Nuclei,AreaShape,Zernike,5,465
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_6_2,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,466
Nuclei_Texture_Entropy_ER_3_01_256,0.0,Nuclei,Texture,Entropy,ER,467
Cells_RadialDistribution_ZernikeMagnitude_PM_9_1,0.0,Cells,RadialDistribution,ZernikeMagnitude,PM,468
Nuclei_Texture_Contrast_Actin_3_03_256,0.0,Nuclei,Texture,Contrast,Actin,469
Cells_RadialDistribution_RadialCV_Hoechst_3of4,0.0,Cells,RadialDistribution,RadialCV,Hoechst,470
Cells_Texture_InfoMeas1_Hoechst_3_03_256,0.0,Cells,Texture,InfoMeas1,Hoechst,471
Cytoplasm_RadialDistribution_FracAtD_Hoechst_2of4,0.0,Cytoplasm,RadialDistribution,FracAtD,Hoechst,472
Nuclei_Intensity_MassDisplacement_Mitochondria,0.0,Nuclei,Intensity,MassDisplacement,Mitochondria,473
Nuclei_Intensity_IntegratedIntensity_Mitochondria,0.0,Nuclei,Intensity,IntegratedIntensity,Mitochondria,474
Nuclei_Texture_Correlation_Hoechst_3_01_256,0.0,Nuclei,Texture,Correlation,Hoechst,475
Cytoplasm_Texture_InverseDifferenceMoment_ER_3_02_256,0.0,Cytoplasm,Texture,InverseDifferenceMoment,ER,476
Cells_Texture_Correlation_Hoechst_3_02_256,0.0,Cells,Texture,Correlation,Hoechst,477
Cells_Texture_Correlation_Actin_3_01_256,0.0,Cells,Texture,Correlation,Actin,478
Cytoplasm_RadialDistribution_MeanFrac_Hoechst_2of4,0.0,Cytoplasm,RadialDistribution,MeanFrac,Hoechst,479
Cells_Correlation_Correlation_Hoechst_Mitochondria,0.0,Cells,Correlation,Correlation,Hoechst,480
Nuclei_Texture_Contrast_Actin_3_01_256,0.0,Nuclei,Texture,Contrast,Actin,481
Cytoplasm_RadialDistribution_FracAtD_Mitochondria_1of4,0.0,Cytoplasm,RadialDistribution,FracAtD,Mitochondria,482
Cells_AreaShape_Zernike_3_3,0.0,Cells,AreaShape,Zernike,3,483
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_6_4,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,484
Nuclei_Correlation_K_PM_Hoechst,0.0,Nuclei,Correlation,K,PM,485
Cytoplasm_Intensity_IntegratedIntensity_Hoechst,0.0,Cytoplasm,Intensity,IntegratedIntensity,Hoechst,486
Nuclei_RadialDistribution_ZernikeMagnitude_ER_1_1,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,ER,487
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_8_0,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,488
Nuclei_Intensity_IntegratedIntensity_PM,0.0,Nuclei,Intensity,IntegratedIntensity,PM,489
Nuclei_AreaShape_Zernike_1_1,0.0,Nuclei,AreaShape,Zernike,1,490
Cells_AreaShape_Zernike_9_3,0.0,Cells,AreaShape,Zernike,9,491
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_1_1,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,492
Nuclei_Intensity_IntegratedIntensityEdge_PM,0.0,Nuclei,Intensity,IntegratedIntensityEdge,PM,493
Nuclei_Intensity_MADIntensity_PM,0.0,Nuclei,Intensity,MADIntensity,PM,494
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_9_5,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,495
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_9_1,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,496
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_3_3,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,497
Cytoplasm_Intensity_MaxIntensity_PM,0.0,Cytoplasm,Intensity,MaxIntensity,PM,498
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_9_3,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,499
Cytoplasm_Texture_DifferenceEntropy_Actin_3_02_256,0.0,Cytoplasm,Texture,DifferenceEntropy,Actin,500
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_9_1,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,501
Nuclei_RadialDistribution_RadialCV_PM_3of4,0.0,Nuclei,RadialDistribution,RadialCV,PM,502
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_4_0,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,503
Cytoplasm_RadialDistribution_MeanFrac_PM_4of4,0.0,Cytoplasm,RadialDistribution,MeanFrac,PM,504
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_6_0,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,505
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_4_4,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,506
Cytoplasm_Texture_DifferenceEntropy_Actin_3_03_256,0.0,Cytoplasm,Texture,DifferenceEntropy,Actin,507
Nuclei_RadialDistribution_MeanFrac_Hoechst_3of4,0.0,Nuclei,RadialDistribution,MeanFrac,Hoechst,508
Nuclei_Texture_InfoMeas2_Mitochondria_3_01_256,0.0,Nuclei,Texture,InfoMeas2,Mitochondria,509
Cells_Intensity_IntegratedIntensity_ER,0.0,Cells,Intensity,IntegratedIntensity,ER,510
Cytoplasm_RadialDistribution_RadialCV_ER_1of4,0.0,Cytoplasm,RadialDistribution,RadialCV,ER,511
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_7_1,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,512
Cells_Correlation_K_ER_Hoechst,0.0,Cells,Correlation,K,ER,513
Nuclei_Texture_InfoMeas1_Mitochondria_3_03_256,0.0,Nuclei,Texture,InfoMeas1,Mitochondria,514
Cytoplasm_Texture_DifferenceEntropy_Mitochondria_3_02_256,0.0,Cytoplasm,Texture,DifferenceEntropy,Mitochondria,515
Cells_RadialDistribution_ZernikeMagnitude_Hoechst_9_1,0.0,Cells,RadialDistribution,ZernikeMagnitude,Hoechst,516
Cytoplasm_Texture_InverseDifferenceMoment_ER_3_00_256,0.0,Cytoplasm,Texture,InverseDifferenceMoment,ER,517
Cells_AreaShape_Compactness,0.0,Cells,AreaShape,Compactness,,518
Cells_Correlation_Manders_PM_Mitochondria,0.0,Cells,Correlation,Manders,PM,519
Nuclei_Texture_SumVariance_ER_3_01_256,0.0,Nuclei,Texture,SumVariance,ER,520
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_6_4,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,521
Cytoplasm_Correlation_RWC_ER_PM,0.0,Cytoplasm,Correlation,RWC,ER,522
Cytoplasm_Intensity_MaxIntensity_Mitochondria,0.0,Cytoplasm,Intensity,MaxIntensity,Mitochondria,523
Nuclei_RadialDistribution_ZernikeMagnitude_ER_2_0,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,ER,524
Nuclei_Intensity_LowerQuartileIntensity_Actin,0.0,Nuclei,Intensity,LowerQuartileIntensity,Actin,525
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_4_2,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,526
Cells_RadialDistribution_MeanFrac_ER_2of4,0.0,Cells,RadialDistribution,MeanFrac,ER,527
Nuclei_Correlation_Overlap_Mitochondria_PM,0.0,Nuclei,Correlation,Overlap,Mitochondria,528
Nuclei_Texture_AngularSecondMoment_ER_3_01_256,0.0,Nuclei,Texture,AngularSecondMoment,ER,529
Cytoplasm_RadialDistribution_ZernikeMagnitude_Actin_5_3,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Actin,530
Cytoplasm_Intensity_MaxIntensityEdge_PM,0.0,Cytoplasm,Intensity,MaxIntensityEdge,PM,531
Cells_RadialDistribution_ZernikeMagnitude_Actin_9_1,0.0,Cells,RadialDistribution,ZernikeMagnitude,Actin,532
Nuclei_Correlation_Overlap_Actin_Mitochondria,0.0,Nuclei,Correlation,Overlap,Actin,533
Cytoplasm_Texture_InfoMeas1_ER_3_02_256,0.0,Cytoplasm,Texture,InfoMeas1,ER,534
Cells_RadialDistribution_ZernikeMagnitude_Actin_6_4,0.0,Cells,RadialDistribution,ZernikeMagnitude,Actin,535
Cytoplasm_RadialDistribution_FracAtD_Actin_3of4,0.0,Cytoplasm,RadialDistribution,FracAtD,Actin,536
Cytoplasm_Texture_Correlation_ER_3_03_256,0.0,Cytoplasm,Texture,Correlation,ER,537
Nuclei_RadialDistribution_RadialCV_PM_4of4,0.0,Nuclei,RadialDistribution,RadialCV,PM,538
Cytoplasm_Texture_DifferenceVariance_Hoechst_3_00_256,0.0,Cytoplasm,Texture,DifferenceVariance,Hoechst,539
Cytoplasm_Texture_Correlation_Mitochondria_3_03_256,0.0,Cytoplasm,Texture,Correlation,Mitochondria,540
Cytoplasm_RadialDistribution_MeanFrac_ER_1of4,0.0,Cytoplasm,RadialDistribution,MeanFrac,ER,541
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_7_5,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,542
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_4_4,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,543
Cytoplasm_Texture_InverseDifferenceMoment_Mitochondria_3_03_256,0.0,Cytoplasm,Texture,InverseDifferenceMoment,Mitochondria,544
Cytoplasm_RadialDistribution_FracAtD_Mitochondria_3of4,0.0,Cytoplasm,RadialDistribution,FracAtD,Mitochondria,545
Cytoplasm_AreaShape_MajorAxisLength,0.0,Cytoplasm,AreaShape,MajorAxisLength,,546
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_5_1,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,547
Cytoplasm_RadialDistribution_ZernikeMagnitude_Actin_4_0,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Actin,548
Nuclei_Texture_DifferenceVariance_ER_3_00_256,0.0,Nuclei,Texture,DifferenceVariance,ER,549
Nuclei_Texture_InfoMeas1_Hoechst_3_00_256,0.0,Nuclei,Texture,InfoMeas1,Hoechst,550
Cells_RadialDistribution_MeanFrac_Hoechst_2of4,0.0,Cells,RadialDistribution,MeanFrac,Hoechst,551
Cells_RadialDistribution_ZernikeMagnitude_ER_7_1,0.0,Cells,RadialDistribution,ZernikeMagnitude,ER,552
Nuclei_RadialDistribution_FracAtD_Mitochondria_4of4,0.0,Nuclei,RadialDistribution,FracAtD,Mitochondria,553
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_5_3,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,554
Cells_RadialDistribution_MeanFrac_Mitochondria_4of4,0.0,Cells,RadialDistribution,MeanFrac,Mitochondria,555
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_6_4,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,556
Cells_AreaShape_Perimeter,0.0,Cells,AreaShape,Perimeter,,557
Cells_Texture_Correlation_Hoechst_3_01_256,0.0,Cells,Texture,Correlation,Hoechst,558
Cytoplasm_Texture_DifferenceEntropy_Mitochondria_3_00_256,0.0,Cytoplasm,Texture,DifferenceEntropy,Mitochondria,559
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_8_2,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,560
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_7_5,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,561
Cytoplasm_Texture_InfoMeas1_ER_3_00_256,0.0,Cytoplasm,Texture,InfoMeas1,ER,562
Nuclei_Texture_Correlation_Mitochondria_3_02_256,0.0,Nuclei,Texture,Correlation,Mitochondria,563
Nuclei_Texture_InverseDifferenceMoment_ER_3_00_256,0.0,Nuclei,Texture,InverseDifferenceMoment,ER,564
Cytoplasm_AreaShape_Zernike_8_2,0.0,Cytoplasm,AreaShape,Zernike,8,565
Cytoplasm_Texture_DifferenceEntropy_Mitochondria_3_03_256,0.0,Cytoplasm,Texture,DifferenceEntropy,Mitochondria,566
Cells_Texture_InfoMeas1_Actin_3_02_256,0.0,Cells,Texture,InfoMeas1,Actin,567
Nuclei_RadialDistribution_ZernikeMagnitude_PM_8_0,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,PM,568
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_6_4,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,569
Cells_RadialDistribution_ZernikeMagnitude_Actin_6_0,0.0,Cells,RadialDistribution,ZernikeMagnitude,Actin,570
Nuclei_Correlation_K_ER_PM,0.0,Nuclei,Correlation,K,ER,571
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_2_0,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,572
Nuclei_Intensity_MaxIntensityEdge_ER,0.0,Nuclei,Intensity,MaxIntensityEdge,ER,573
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_2_2,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,574
Cells_RadialDistribution_MeanFrac_Hoechst_3of4,0.0,Cells,RadialDistribution,MeanFrac,Hoechst,575
Cells_RadialDistribution_ZernikeMagnitude_Actin_8_2,0.0,Cells,RadialDistribution,ZernikeMagnitude,Actin,576
Cytoplasm_Correlation_Manders_Mitochondria_Hoechst,0.0,Cytoplasm,Correlation,Manders,Mitochondria,577
Cells_RadialDistribution_FracAtD_Mitochondria_2of4,0.0,Cells,RadialDistribution,FracAtD,Mitochondria,578
Nuclei_RadialDistribution_ZernikeMagnitude_PM_8_8,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,PM,579
Nuclei_Texture_Contrast_ER_3_01_256,0.0,Nuclei,Texture,Contrast,ER,580
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_3_3,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,581
Nuclei_Intensity_MinIntensityEdge_ER,0.0,Nuclei,Intensity,MinIntensityEdge,ER,582
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_4_0,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,583
Cells_AreaShape_Zernike_7_3,0.0,Cells,AreaShape,Zernike,7,584
Cells_Texture_DifferenceVariance_Hoechst_3_03_256,0.0,Cells,Texture,DifferenceVariance,Hoechst,585
Nuclei_Correlation_Overlap_ER_Hoechst,0.0,Nuclei,Correlation,Overlap,ER,586
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_1_1,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,587
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_5_5,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,588
Cells_RadialDistribution_ZernikeMagnitude_ER_6_0,0.0,Cells,RadialDistribution,ZernikeMagnitude,ER,589
Nuclei_Texture_InfoMeas1_PM_3_02_256,0.0,Nuclei,Texture,InfoMeas1,PM,590
Cells_AreaShape_Zernike_6_2,0.0,Cells,AreaShape,Zernike,6,591
Cells_Intensity_IntegratedIntensityEdge_Hoechst,0.0,Cells,Intensity,IntegratedIntensityEdge,Hoechst,592
Nuclei_Correlation_Correlation_ER_Hoechst,0.0,Nuclei,Correlation,Correlation,ER,593
Nuclei_Texture_Correlation_Actin_3_01_256,0.0,Nuclei,Texture,Correlation,Actin,594
Nuclei_RadialDistribution_FracAtD_Mitochondria_2of4,0.0,Nuclei,RadialDistribution,FracAtD,Mitochondria,595
Nuclei_AreaShape_Zernike_3_3,0.0,Nuclei,AreaShape,Zernike,3,596
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_8_6,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,597
Nuclei_RadialDistribution_RadialCV_Actin_1of4,0.0,Nuclei,RadialDistribution,RadialCV,Actin,598
Cells_RadialDistribution_MeanFrac_Hoechst_1of4,0.0,Cells,RadialDistribution,MeanFrac,Hoechst,599
Cytoplasm_RadialDistribution_ZernikeMagnitude_Actin_1_1,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Actin,600
Cytoplasm_RadialDistribution_MeanFrac_Mitochondria_1of4,0.0,Cytoplasm,RadialDistribution,MeanFrac,Mitochondria,601
Cytoplasm_Texture_SumAverage_Hoechst_3_01_256,0.0,Cytoplasm,Texture,SumAverage,Hoechst,602
Nuclei_Texture_AngularSecondMoment_Actin_3_01_256,0.0,Nuclei,Texture,AngularSecondMoment,Actin,603
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_9_7,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,604
Nuclei_RadialDistribution_MeanFrac_Actin_4of4,0.0,Nuclei,RadialDistribution,MeanFrac,Actin,605
Cells_RadialDistribution_ZernikeMagnitude_Hoechst_6_0,0.0,Cells,RadialDistribution,ZernikeMagnitude,Hoechst,606
Cells_RadialDistribution_ZernikeMagnitude_Hoechst_2_0,0.0,Cells,RadialDistribution,ZernikeMagnitude,Hoechst,607
Cytoplasm_RadialDistribution_FracAtD_PM_3of4,0.0,Cytoplasm,RadialDistribution,FracAtD,PM,608
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_8_4,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,609
Cytoplasm_RadialDistribution_FracAtD_Actin_1of4,0.0,Cytoplasm,RadialDistribution,FracAtD,Actin,610
Nuclei_Intensity_MADIntensity_Actin,0.0,Nuclei,Intensity,MADIntensity,Actin,611
Cells_AreaShape_Zernike_8_8,0.0,Cells,AreaShape,Zernike,8,612
Cells_RadialDistribution_ZernikeMagnitude_Mitochondria_9_9,0.0,Cells,RadialDistribution,ZernikeMagnitude,Mitochondria,613
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_6_0,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,614
Cytoplasm_Texture_Correlation_Hoechst_3_00_256,0.0,Cytoplasm,Texture,Correlation,Hoechst,615
Nuclei_Correlation_Correlation_ER_Mitochondria,0.0,Nuclei,Correlation,Correlation,ER,616
Nuclei_Texture_Correlation_ER_3_03_256,0.0,Nuclei,Texture,Correlation,ER,617
Nuclei_AreaShape_Zernike_9_1,0.0,Nuclei,AreaShape,Zernike,9,618
Cells_RadialDistribution_FracAtD_ER_1of4,0.0,Cells,RadialDistribution,FracAtD,ER,619
Cells_Intensity_StdIntensity_Hoechst,0.0,Cells,Intensity,StdIntensity,Hoechst,620
Nuclei_Intensity_LowerQuartileIntensity_ER,0.0,Nuclei,Intensity,LowerQuartileIntensity,ER,621
Cytoplasm_Texture_InverseDifferenceMoment_ER_3_01_256,0.0,Cytoplasm,Texture,InverseDifferenceMoment,ER,622
Cytoplasm_Texture_InfoMeas1_Actin_3_00_256,0.0,Cytoplasm,Texture,InfoMeas1,Actin,623
Nuclei_Correlation_RWC_ER_PM,0.0,Nuclei,Correlation,RWC,ER,624
Cytoplasm_RadialDistribution_MeanFrac_Hoechst_1of4,0.0,Cytoplasm,RadialDistribution,MeanFrac,Hoechst,625
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_6_0,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,626
Cytoplasm_Correlation_Correlation_ER_Hoechst,0.0,Cytoplasm,Correlation,Correlation,ER,627
Nuclei_Correlation_K_PM_Actin,0.0,Nuclei,Correlation,K,PM,628
Nuclei_Neighbors_FirstClosestDistance_Adjacent,0.0,Nuclei,Neighbors,FirstClosestDistance,Adjacent,629
Nuclei_Texture_InfoMeas2_Mitochondria_3_00_256,0.0,Nuclei,Texture,InfoMeas2,Mitochondria,630
Cells_Correlation_Manders_PM_Actin,0.0,Cells,Correlation,Manders,PM,631
Nuclei_Correlation_Overlap_ER_PM,0.0,Nuclei,Correlation,Overlap,ER,632
Cytoplasm_AreaShape_Zernike_4_2,0.0,Cytoplasm,AreaShape,Zernike,4,633
Cytoplasm_Texture_InfoMeas2_Mitochondria_3_03_256,0.0,Cytoplasm,Texture,InfoMeas2,Mitochondria,634
Cells_Texture_InfoMeas1_Actin_3_03_256,0.0,Cells,Texture,InfoMeas1,Actin,635
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_3_3,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,636
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_3_3,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,637
Cytoplasm_Texture_InfoMeas1_ER_3_03_256,0.0,Cytoplasm,Texture,InfoMeas1,ER,638
Nuclei_Intensity_IntegratedIntensityEdge_ER,0.0,Nuclei,Intensity,IntegratedIntensityEdge,ER,639
Cytoplasm_Correlation_Correlation_Actin_Hoechst,0.0,Cytoplasm,Correlation,Correlation,Actin,640
Nuclei_Correlation_RWC_Hoechst_PM,0.0,Nuclei,Correlation,RWC,Hoechst,641
Cells_Intensity_MeanIntensity_Hoechst,0.0,Cells,Intensity,MeanIntensity,Hoechst,642
Nuclei_Texture_DifferenceEntropy_Actin_3_00_256,0.0,Nuclei,Texture,DifferenceEntropy,Actin,643
Nuclei_Texture_DifferenceVariance_PM_3_00_256,0.0,Nuclei,Texture,DifferenceVariance,PM,644
Cytoplasm_Intensity_MassDisplacement_Hoechst,0.0,Cytoplasm,Intensity,MassDisplacement,Hoechst,645
Nuclei_Granularity_1_Hoechst,0.0,Nuclei,Granularity,1,Hoechst,646
Cytoplasm_RadialDistribution_MeanFrac_Hoechst_3of4,0.0,Cytoplasm,RadialDistribution,MeanFrac,Hoechst,647
Cytoplasm_Texture_InfoMeas2_ER_3_00_256,0.0,Cytoplasm,Texture,InfoMeas2,ER,648
Cytoplasm_AreaShape_Zernike_2_0,0.0,Cytoplasm,AreaShape,Zernike,2,649
Cells_AreaShape_Zernike_9_5,0.0,Cells,AreaShape,Zernike,9,650
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_9_5,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,651
Cytoplasm_Texture_InfoMeas1_Hoechst_3_02_256,0.0,Cytoplasm,Texture,InfoMeas1,Hoechst,652
Cytoplasm_Intensity_MaxIntensityEdge_Actin,0.0,Cytoplasm,Intensity,MaxIntensityEdge,Actin,653
Cells_Intensity_MeanIntensityEdge_Hoechst,0.0,Cells,Intensity,MeanIntensityEdge,Hoechst,654
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_6_4,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,655
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_5_3,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,656
Nuclei_Intensity_StdIntensity_PM,0.0,Nuclei,Intensity,StdIntensity,PM,657
Nuclei_RadialDistribution_FracAtD_Hoechst_4of4,0.0,Nuclei,RadialDistribution,FracAtD,Hoechst,658
Cells_RadialDistribution_FracAtD_Mitochondria_4of4,0.0,Cells,RadialDistribution,FracAtD,Mitochondria,659
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_1_1,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,660
Nuclei_RadialDistribution_FracAtD_ER_4of4,0.0,Nuclei,RadialDistribution,FracAtD,ER,661
Nuclei_RadialDistribution_ZernikeMagnitude_PM_7_7,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,PM,662
Nuclei_Texture_Correlation_Actin_3_02_256,0.0,Nuclei,Texture,Correlation,Actin,663
Nuclei_Correlation_Correlation_Actin_PM,0.0,Nuclei,Correlation,Correlation,Actin,664
Cytoplasm_RadialDistribution_RadialCV_PM_4of4,0.0,Cytoplasm,RadialDistribution,RadialCV,PM,665
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_8_4,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,666
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_7_7,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,667
Cytoplasm_RadialDistribution_FracAtD_Mitochondria_4of4,0.0,Cytoplasm,RadialDistribution,FracAtD,Mitochondria,668
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_9_3,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,669
Cytoplasm_Granularity_2_Hoechst,0.0,Cytoplasm,Granularity,2,Hoechst,670
Nuclei_Correlation_RWC_Hoechst_Actin,0.0,Nuclei,Correlation,RWC,Hoechst,671
Nuclei_RadialDistribution_ZernikeMagnitude_ER_6_6,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,ER,672
Cytoplasm_AreaShape_Zernike_5_1,0.0,Cytoplasm,AreaShape,Zernike,5,673
Nuclei_AreaShape_Zernike_6_2,0.0,Nuclei,AreaShape,Zernike,6,674
Cytoplasm_Texture_Correlation_Mitochondria_3_02_256,0.0,Cytoplasm,Texture,Correlation,Mitochondria,675
Cells_Intensity_MaxIntensity_Hoechst,0.0,Cells,Intensity,MaxIntensity,Hoechst,676
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_8_4,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,677
